Overall Jokl Rank,Athletics,Cycling,Gymnastics,Shooting,Swimming,Coastline (Km) (2018),Temperature (1901-2016 [C]),GDP (US Billion Dollar),Elevation (Feet),Status of Women,Democracy Index,Population
19.09,16.27,,,,2.82,885,25.03,16.66,1241.64,0.65,3.61,2225734
18.17,,,,,18.17,362,11.57,15.28,2259.2,0.76,5.89,2877797
18.08,2.41,,,,15.67,370.4,27.58,0.22,26.96,,,59190
16.65,6.41,,,,10.24,177,23.07,14.18,685.11,0.75,8.22,1271768
15.45,14.41,,,,1.04,160,27.62,5.52,30.66,,,65722
15.29,11.86,,,,3.43,402,26.09,3.94,658.54,0.58,4.86,7976983
15.07,3.56,,,,11.51,0,23.53,38.15,539.8,0.74,6.24,7132538
14.98,,,,,14.98,68.5,29.54,3.06,308,,,106766
14.5,11.81,,,,2.69,1318,26.82,421,376.29,0.78,2.76,9890402
14.41,3.89,,,,10.52,6112,27.05,0.4,349.99,,,548914
13.79,,,,8.67,5.11,1930,22.94,76.09,1912.46,0.59,3.55,54409800
13.44,,,,,13.44,293.5,14.9,5.49,3380.02,0.79,5.65,628066
12.88,6.45,,,,6.43,1519,27.57,0.28,182.6,,,18094
12.86,,,,,12.86,531,28.08,23.58,175.17,0.66,5.81,16743927
12.45,8.4,,,,4.05,644,27.63,5.73,21.23,0.67,,540544
12.38,1.84,,,1.54,8.99,0,11.1,7.93,2656.81,,,1810000
12.37,2.8,,,9.58,,20,9.66,20.05,2254.02,0.76,4.86,3280819
12.24,1.43,,,,10.81,36289,25.48,377,1070.97,0.71,6.64,109581078
12.18,0,,,,12.18,26,18.65,43.74,2519.6,0.63,3.93,10203134
11.75,,,,,11.75,103,23.22,7.48,72.74,,,62278
11.57,6.24,,,,5.33,0,21.99,7.67,2808.33,0.63,5.5,19129952
11.28,,,,,11.28,0,3.3,8.12,9691.61,0.7,1.93,9537645
11.11,,,,,11.11,0,28.22,15.75,984.92,0.62,4.04,20903273
10.64,2.81,,,,7.82,419,24.52,0.45,212.17,,,105695
10.63,5.64,,,,4.99,120,24.8,0.36,184.56,,,17564
10.45,2.48,,,,7.97,0,23.48,18.17,2191.07,0.72,2.14,7275560
10.39,1,,,,9.39,491,27.05,1.7,299.34,,,98347
10.3,5.36,,,4.94,,0,9.98,12.55,2717.19,0.81,5.97,2083374
10.27,7.61,,,,2.66,169,24.62,10.82,1700,0.59,3.11,5518087
9.8,6.02,,,,3.77,56,27.04,5.46,850.5,0.67,3.3,8278724
8.72,7.15,,,,1.58,0,28.28,17.51,1050.38,0.54,4.92,20250833
8.34,6.15,,,,2.19,320,25.83,11.4,1454.27,0.63,3.14,13132795
7.56,1.88,,,,5.68,0,27.38,12.93,1511.38,0.55,3.29,24206644
7.09,,,7.09,,,4970,1.8,24.19,1640,0.89,9.58,341243
7.08,0.15,,,,6.94,443,27,27.09,412.98,0.69,3.53,16718965
6.87,3.83,,,,3.03,340,25.59,1.19,1650.15,0.63,3.15,869601
6.72,0.74,,5.98,0,,2490,25.27,66.8,1026.84,0.73,7.05,4314767
6.64,,,,,6.64,2470,23.76,14.93,1170.71,0.68,3.65,31255435
6.41,6.41,,,,,965,23,1.98,1124.59,,7.78,555987
6.03,,,,4.31,1.72,910,24.76,12.52,736.72,0.71,3.55,6624554
6.01,2.36,,,0,3.65,1600,21.62,94.64,3509.35,0.63,3.72,32866272
5.72,5.72,,,,,54716,25.83,1119,1121.56,0.7,6.48,273523615
5.21,,,,,5.21,121,27.51,14.39,878.37,0.66,5.09,12123200
4.66,4.66,,,,,161,25.31,13.47,325.18,,,437479
